Model,Phase,Accuracy,F1_Score,AUC_OvR
1_Finetune_Full_Wav2Vec2,subset,0.9577777777777777,0.9576123527998077,0.9950444444444444
2_Finetune_FeatureExtractor,subset,0.9022222222222223,0.9023117915773282,0.9823851851851853
3_Finetune_FeatureExtractor_Quantizer,subset,0.9044444444444445,0.9044332556818985,0.9781851851851852
4_Baseline_From_Scratch,subset,0.8355555555555556,0.8358432867891575,0.9626444444444444
1_Finetune_Full_Wav2Vec2,full,0.7347670250896058,0.7282870893642788,0.9362981301654326
2_Finetune_FeatureExtractor,full,0.6439665471923537,0.6454361810587531,0.925112243992451
3_Finetune_FeatureExtractor_Quantizer,full,0.6105137395459976,0.6016048348593417,0.9140581344815588
4_Baseline_From_Scratch,full,0.6499402628434886,0.6560789080112646,0.9170077206679128
